sex,height,weight
1,1.63,81.7
1,1.63,68.0
1,1.85,97.1
1,1.78,89.8
1,1.73,70.3
2,1.57,85.7
1,1.70,69.4
1,1.83,90.7
2,1.75,83.9
2,1.60,72.6
1,1.73,81.7
1,1.70,68.0
2,1.52,65.8
2,1.70,90.7
2,1.63,68.0
1,1.65,47.6
1,1.78,108.9
1,1.73,92.5
2,1.68,90.7
1,1.70,83.9
1,1.70,84.4
1,1.68,69.4
1,1.73,106.6
1,1.88,99.8
1,1.80,95.3
1,1.75,89.8
1,1.65,65.8
1,1.85,142.9
2,1.63,53.1
2,1.57,63.5
2,1.52,67.6
1,1.80,90.7
1,1.73,81.7
2,1.55,41.7
2,1.57,106.6
1,1.85,95.3
2,1.63,70.3
2,1.57,63.5
2,1.60,81.7
2,1.63,59.0
1,1.78,93.4
1,1.73,90.7
2,1.60,63.5
1,1.78,104.3
1,1.78,72.6
2,1.80,63.5
2,1.60,86.2
2,1.60,61.2
1,1.80,86.2
1,1.85,103.4
1,1.60,65.8
1,1.78,113.4
1,1.85,79.4
2,1.65,74.8
1,1.88,103.0
1,1.93,90.7
2,1.68,90.7
1,1.83,104.3
1,1.78,95.3
2,1.57,61.2
2,1.73,99.8
1,1.78,86.2
1,1.78,106.6
1,1.83,113.4
2,1.63,88.5
2,1.68,65.8
2,1.70,104.3
1,1.70,108.9
2,1.55,60.3
2,1.78,104.3
2,1.70,81.7
2,1.50,65.3
1,1.83,122.5
1,1.73,67.1
2,1.55,90.7
1,1.73,81.7
2,1.65,92.1
1,1.78,113.4
1,1.88,99.8
1,1.83,89.4
1,1.83,99.8
1,1.73,88.5
2,1.60,56.7
2,1.65,72.6
2,1.68,95.7
2,1.55,56.7
2,1.63,113.4
1,1.65,79.4
1,1.88,124.7
2,1.65,95.3
1,1.78,83.9
1,1.68,74.8
2,1.52,90.7
1,1.73,79.4
2,1.52,54.4
2,1.73,81.7
1,1.93,104.3
1,1.73,72.6
2,1.68,62.6
1,1.91,105.2
1,1.83,90.7
2,1.68,86.2
2,1.60,74.8
2,1.55,74.4
2,1.68,85.7
1,1.70,116.6
2,1.70,56.7
1,1.96,136.1
1,1.73,68.0
1,1.63,70.8
2,1.68,73.5
2,1.52,105.0
1,1.80,113.4
1,1.85,173.7
1,1.70,68.0
2,1.70,117.9
2,1.63,81.7
2,1.57,72.6
2,1.57,52.6
1,1.83,59.0
2,1.68,104.3
1,1.65,94.8
1,1.88,82.6
2,1.73,90.7
2,1.63,83.0
1,1.88,83.9
2,1.73,63.5
2,1.65,74.8
2,1.63,88.5
2,1.68,90.7
2,1.50,77.1
1,1.80,83.9
2,1.65,64.4
1,1.80,86.2
1,1.80,93.0
2,1.60,49.9
2,1.60,76.2
1,1.78,68.0
2,1.68,65.8
1,1.78,76.2
1,1.63,83.9
2,1.73,77.1
2,1.52,54.4
1,1.80,124.7
2,1.60,54.4
1,1.70,87.1
2,1.57,22.7
1,1.78,78.5
1,1.73,74.8
2,1.63,83.9
2,1.57,52.2
1,1.68,82.6
1,1.91,108.9
2,1.55,61.2
2,1.55,79.4
1,1.83,133.8
1,1.75,81.2
1,1.75,79.4
2,1.68,64.9
2,1.63,43.1
2,1.55,81.7
1,1.91,97.5
2,1.68,99.8
2,1.52,46.7
1,1.70,79.4
2,1.52,70.3
2,1.57,57.2
1,1.88,120.2
2,1.75,99.8
2,1.96,83.9
1,2.01,99.8
2,1.60,72.6
1,1.70,72.6
2,1.75,108.9
2,1.50,54.4
1,1.83,78.0
1,1.75,108.9
1,1.63,79.4
2,1.73,68.0
2,1.60,64.4
1,1.75,71.7
2,1.65,90.7
1,1.63,80.7
2,1.70,79.4
2,1.70,81.7
1,1.70,79.4
2,1.68,55.3
2,1.68,113.4
1,1.78,81.7
2,1.22,74.8
2,1.70,83.9
1,1.78,97.5
2,1.68,81.7
2,1.70,86.2
2,1.50,86.2
1,1.85,120.2
1,1.83,93.0
2,1.70,76.2
1,1.83,95.3
2,1.57,76.2
1,1.70,76.7
1,1.70,65.8
1,1.75,113.4
2,1.60,72.6
1,1.75,95.3
1,1.93,104.3
1,1.78,99.8
1,1.73,81.7
1,1.93,213.2
2,1.75,86.2
2,1.57,68.0
2,1.57,108.9
1,1.83,124.7
2,1.60,70.8
1,1.70,59.9
2,1.60,81.7
2,1.50,58.5
1,1.65,86.2
2,1.68,68.0
2,1.65,69.0
2,1.68,72.6
1,1.83,113.4
1,1.73,83.9
2,1.63,65.8
2,1.75,83.5
2,1.60,68.5
1,1.70,93.0
2,1.70,59.4
1,1.73,74.8
1,1.73,88.0
2,1.60,102.1
2,1.68,78.0
2,1.70,113.4
2,1.60,97.5
1,1.78,82.6
2,1.65,54.4
2,1.65,90.7
2,1.68,65.8
2,1.55,45.4
2,1.70,88.5
2,1.52,81.7
1,1.83,90.7
1,1.75,65.8
2,1.73,54.4
2,1.63,64.0
2,1.73,82.6
2,1.70,56.7
2,1.65,62.1
1,1.85,83.9
2,1.55,93.9
2,1.52,56.3
2,1.75,88.5
2,1.68,71.7
1,1.83,92.1
2,1.50,70.3
2,1.65,72.1
1,1.88,97.1
2,1.70,95.3
2,1.68,83.9
1,1.91,86.2
2,1.52,44.0
2,1.55,52.6
2,1.70,63.5
2,1.65,54.4
1,1.70,63.5
2,1.65,104.3
1,1.91,89.8
2,1.70,112.0
1,1.78,70.3
2,1.73,68.0
2,1.63,74.8
1,1.78,69.4
1,1.75,83.9
2,1.63,86.2
1,1.80,90.7
2,1.75,79.4
2,1.65,40.8
2,1.55,87.5
2,1.68,52.6
1,1.78,104.3
2,1.73,76.7
2,1.63,68.0
1,1.83,113.4
2,1.70,70.3
2,1.52,69.0
2,1.60,77.1
2,1.65,78.0
1,1.80,88.5
2,1.68,83.9
1,1.60,82.6
1,1.75,90.7
1,1.70,74.8
1,1.73,99.8
2,1.52,51.3
2,1.65,70.8
1,1.73,76.7
1,1.80,97.5
1,1.83,65.3
2,1.68,72.6
1,1.88,113.4
1,1.83,102.1
1,1.83,99.8
2,1.70,70.3
2,1.55,77.1
1,1.80,104.3
2,1.57,70.8
1,1.96,127.0
1,1.73,95.3
2,1.57,72.6
1,1.78,117.9
2,1.60,72.6
1,1.80,83.9
2,1.65,74.8
2,1.63,75.8
1,1.75,77.1
2,1.75,86.2
2,1.52,73.5
1,1.88,104.3
2,1.52,62.6
2,1.70,70.3
1,1.68,70.3
1,1.73,102.1
2,1.60,72.6
2,1.73,132.5
2,1.63,127.0
1,1.80,81.7
2,1.63,81.7
1,1.55,90.7
2,1.57,64.4
1,1.75,76.2
2,1.55,115.2
2,1.55,81.7
2,1.63,57.6
1,1.70,85.3
2,1.63,79.8
2,1.50,61.7
1,1.75,109.8
1,1.70,81.7
1,1.83,93.0
1,1.78,87.1
2,1.68,62.6
1,1.78,95.3
2,1.65,95.3
1,1.80,81.7
1,1.83,86.2
2,1.70,77.1
2,1.65,83.9
2,1.60,54.4
2,1.63,96.6
2,1.68,68.0
1,1.80,85.3
2,1.65,54.4
1,1.88,89.8
2,1.55,67.1
1,1.88,136.1
1,1.75,113.4
1,1.83,72.6
1,1.83,90.7
1,1.70,86.2
2,1.80,69.9
1,1.70,72.6
2,1.57,54.4
2,1.63,61.2
2,1.57,52.2
2,1.63,66.2
2,1.65,56.7
