id,before,after
1,1270,1388
2,1045,995
3,1128,1602
4,1121,1358
5,879,1059
6,1387,1341
7,1216,1359
8,1301,1344
9,1752,1412
10,1446,1295
11,1858,1529
12,1265,1119
13,1067,1406
14,997,1126
15,1739,1598
16,1045,1091
17,1219,1650
18,1331,1540
19,1237,1182
20,1026,1103
21,1276,1328
22,1558,1534
23,1615,1596
24,1523,1285
25,1552,1336
26,1058,1088
27,1211,1071
28,1285,1248
29,1461,1340
30,1371,1196
31,1357,1455
32,1362,1505
33,1114,1293
34,1264,1214
35,1615,1342
36,1101,1041
37,1022,984
38,1495,1619
39,1476,1312
40,950,1192
41,1456,1405
42,1243,1084
43,1453,1410
44,1292,1259
45,1104,1489
46,1203,1247
47,1345,1528
48,1374,1397
49,1366,1474
50,1060,1270
51,883,1025
52,1337,1502
53,1207,1269
54,1435,1324
55,1347,1439
56,1765,1518
57,1299,1375
58,1209,914
