age,sex,handwash_baseline,handwash_followup
43,Female,0,1
24,Female,1,1
38,Male,1,1
57,Female,1,1
37,Male,1,1
38,Male,1,1
58,Female,1,1
34,Male,1,0
46,Female,1,1
55,Male,0,1
50,Female,0,0
45,Female,1,1
51,Female,0,0
36,Male,1,1
51,Female,0,0
53,Female,1,1
46,Female,1,1
34,Female,1,1
47,Female,1,1
50,Female,1,1
38,Male,0,1
39,Female,1,1
50,Female,1,1
49,Female,1,1
54,Female,0,0
46,Female,1,0
42,Female,1,1
61,Male,1,1
51,Male,1,1
34,Female,1,1
48,Male,0,0
45,Male,1,1
41,Male,0,1
47,Female,1,1
49,Male,1,1
39,Female,1,1
36,Male,1,1
43,Male,0,1
32,Male,0,1
47,Female,1,1
41,Male,0,0
54,Female,1,1
51,Female,1,1
48,Female,1,1
43,Female,1,1
59,Female,0,1
44,Male,1,1
37,Female,1,1
57,Female,1,1
39,Male,1,1
56,Male,0,1
36,Female,1,1
47,Female,0,1
48,Male,1,1
45,Female,1,1
55,Female,1,1
50,Female,0,0
41,Male,0,NA
50,Male,0,0
51,Male,1,1
39,Female,1,1
39,Female,1,1
52,Female,0,1
41,Male,0,0
45,Female,1,1
45,Female,1,1
44,Male,1,1
41,Male,1,1
39,Female,1,NA
31,Female,1,1
53,Female,1,1
37,Female,1,1
41,Female,1,1
44,Female,1,1
54,Male,1,1
49,Female,1,1
56,Female,1,1
47,Female,0,0
42,Male,1,1
52,Male,1,1
56,Female,1,1
36,Female,1,1
40,Male,1,1
35,Female,1,1
28,Male,1,1
38,Female,1,1
47,Male,1,1
42,Female,1,1
52,Female,1,1
51,Female,1,1
41,Female,0,0
43,Male,0,1
24,Female,1,1
35,Male,1,1
37,Female,1,1
48,Male,1,1
36,Male,1,NA
53,Female,1,NA
28,Male,1,1
50,Female,1,1
51,Male,1,1
47,Female,1,1
57,Female,1,1
48,Male,1,1
41,Male,0,0
48,Male,1,1
38,Female,0,0
