age,weight,height
42,88.0,179
57,73.9,177
46,80.3,184
28,78.0,191
72,71.7,171
40,77.5,189
26,84.0,184
47,75.1,179
72,76.4,176
65,58.0,167
50,71.4,170
40,63.3,175
34,59.8,171
70,61.0,170
42,80.7,175
31,63.7,173
26,82.3,177
43,69.2,172
39,99.7,189
66,77.8,176
67,75.9,171
31,80.6,182
42,75.1,177
40,76.6,176
54,69.7,179
61,65.0,167
23,85.5,197
34,89.0,180
67,74.4,172
54,73.5,171
44,85.2,184
49,78.1,182
42,111.0,193
29,72.8,181
40,72.8,175
22,70.0,168
55,71.3,182
49,76.5,182
40,91.9,178
37,68.6,170
62,91.5,177
26,69.2,175
41,84.1,173
40,71.8,176
23,72.6,184
55,90.2,189
40,76.1,182
65,102.0,173
55,70.3,182
35,78.5,177
56,76.3,174
26,84.7,189
47,58.0,170
62,98.2,186
48,80.0,185
64,68.3,171
37,66.0,176
35,57.2,166
38,85.8,186
57,82.8,182
47,89.5,186
55,81.7,175
49,87.2,165
42,102.2,190
41,96.4,182
22,78.8,184
55,66.7,175
60,71.7,171
43,91.1,182
52,93.9,189
49,96.7,191
27,91.0,187
61,81.7,167
38,85.1,176
54,70.6,176
64,72.7,167
58,82.5,173
25,80.0,184
51,67.8,177
64,86.5,185
47,68.9,170
32,67.6,178
53,70.2,176
50,78.5,185
35,80.6,180
81,73.3,178
23,70.1,172
24,95.6,190
49,69.4,187
55,83.4,171
41,69.5,176
47,88.6,184
58,73.5,171
27,71.3,171
30,93.3,181
41,76.5,177
48,79.0,183
35,69.2,172
35,74.0,168
33,83.8,175
43,81.0,178
72,86.7,179
41,95.7,183
40,76.5,181
70,77.6,178
61,67.4,171
34,99.4,183
66,106.5,183
28,83.0,184
44,84.2,182
47,89.5,183
43,85.3,188
56,79.3,177
28,91.1,177
50,73.2,169
49,98.3,189
46,71.1,173
27,76.4,181
27,60.6,164
63,99.6,177
46,75.9,170
43,77.6,171
47,81.0,178
51,81.4,183
48,80.6,185
25,86.8,188
52,75.9,172
55,56.8,163
27,66.4,184
41,105.8,189
32,82.0,177
49,90.2,187
54,90.0,183
33,89.1,185
51,99.5,163
43,75.2,174
24,70.9,180
26,109.9,189
41,91.9,184
72,84.9,168
47,72.6,180
24,94.8,185
40,53.9,173
25,93.9,177
67,103.5,185
42,74.0,185
62,76.1,182
43,88.2,192
34,63.6,179
69,80.8,174
28,93.5,175
43,80.5,176
40,80.3,180
57,93.4,178
68,70.7,176
40,87.4,186
62,87.0,184
33,96.2,187
41,78.5,181
43,77.6,174
64,70.6,177
50,73.9,169
45,61.7,174
28,83.5,172
54,87.8,178
51,70.2,178
44,75.5,166
55,77.0,173
40,78.8,177
57,67.2,167
29,73.1,175
35,75.6,173
44,83.6,188
56,81.3,174
27,72.4,182
45,119.4,175
54,68.9,180
50,89.4,173
31,67.3,171
35,98.6,187
42,76.0,185
36,103.1,182
40,60.7,171
26,101.4,178
32,95.1,180
39,75.8,180
55,64.7,171
41,112.4,187
58,79.8,182
44,84.5,177
42,61.9,171
40,86.8,188
36,80.1,182
52,92.4,189
35,103.7,177
44,101.4,177
43,91.0,187
49,63.9,173
54,92.0,180
52,90.6,182
40,66.3,171
42,71.0,175
47,71.9,184
42,74.1,178
50,88.5,180
72,91.4,177
35,102.2,184
35,85.3,177
46,80.5,178
69,98.0,179
32,82.7,187
51,62.4,172
65,86.3,167
