id,weight
1,70.6
2,74.7
3,70.4
4,65.5
5,74.4
6,73.0
7,60.2
8,67.5
9,69.2
10,76.3
11,74.7
12,62.3
13,65.2
14,64.5
15,68.3
16,76.3
17,70.8
18,69.3
19,71.8
20,67.0
21,68.2
22,58.9
23,75.4
24,63.2
25,70.1
26,60.6
27,73.2
28,75.5
29,72.1
30,65.1
31,66.4
32,64.8
33,71.2
34,68.6
35,76.8
36,69.4
37,68.8
38,66.1
39,69.0
40,71.9
41,74.6
42,72.4
43,66.2
44,71.5
45,68.3
46,77.5
47,66.0
48,70.0
49,71.7
50,73.0
51,62.3
52,85.7
53,65.2
54,63.4
55,72.8
56,63.7
57,62.4
58,700.2
59,72.4
60,65.4
61,68.1
62,69.5
63,75.2
64,65.1
65,74.1
66,71.2
67,67.6
68,67.2
69,73.4
70,71.9
71,75.5
72,65.5
73,73.7
74,66.7
75,70.5
76,68.9
77,75.1
78,70.3
79,71.2
80,71.7
81,65.2
82,69.1
83,66.7
84,71.0
85,68.1
86,67.2
87,63.4
88,74.7
89,73.8
90,70.4
91,64.2
92,69.0
93,73.7
94,62.4
95,65.1
96,71.4
97,76.1
98,63.5
99,75.0
100,68.1
101,70.7
102,78.7
103,64.3
104,72.4
105,68.0
106,70.3
107,71.0
108,71.5
109,68.3
110,74.2
111,66.0
112,67.4
113,68.9
114,64.8
115,67.2
116,68.6
117,69.6
118,70.5
119,76.6
120,77.3
121,73.0
122,65.1
123,76.9
124,67.8
125,61.7
126,67.7
127,62.5
128,62.7
129,70.2
130,60.1
131,67.2
132,77.8
133,67.1
134,58.9
135,63.5
136,65.1
137,63.6
138,69.6
139,65.0
140,64.6
141,60.7
142,69.9
143,71.4
144,74.6
145,76.5
146,64.7
147,68.5
148,63.5
149,62.2
150,70.9
151,71.4
152,75.3
153,61.6
154,78.9
155,64.4
156,71.2
157,71.7
158,72.7
159,66.0
160,69.2
161,69.4
162,75.7
163,66.1
164,80.3
165,64.0
166,68.7
167,63.9
168,71.2
169,73.3
170,62.3
171,68.3
172,65.4
173,62.9
174,79.6
175,71.1
176,73.5
177,72.4
178,67.3
179,74.2
180,70.7
181,70.1
182,72.8
183,54.5
184,65.3
185,76.5
186,58.1
187,66.9
188,73.5
189,70.8
190,73.8
191,73.6
192,76.0
193,75.5
194,69.9
195,57.6
196,79.9
197,61.8
198,66.5
199,69.9
200,75.9
201,72.1
202,65.4
203,62.7
204,60.7
205,72.3
206,60.2
207,77.6
208,75.0
209,63.1
210,68.8
211,64.7
212,69.3
213,72.1
214,74.7
215,66.0
216,64.5
217,79.8
218,63.7
219,64.7
220,71.3
221,67.7
222,76.0
223,72.9
224,71.8
225,67.1
226,74.8
227,77.9
228,67.7
229,75.5
230,70.5
231,72.1
232,65.4
233,60.8
234,75.4
235,66.4
236,73.1
237,76.8
238,69.1
239,66.4
240,75.0
241,65.3
242,74.4
243,73.3
244,69.9
245,66.1
246,68.9
247,69.4
248,63.5
249,69.5
250,66.0
251,64.9
252,64.3
253,70.8
254,73.6
255,67.1
256,73.6
257,78.0
258,70.2
259,72.5
260,74.9
261,69.9
262,73.8
263,63.1
264,72.5
265,69.8
266,74.2
267,72.1
268,63.9
269,66.5
270,68.5
271,68.1
272,79.9
273,69.4
274,63.1
275,73.6
276,66.3
277,70.6
278,70.4
279,68.8
280,65.7
281,70.9
282,70.8
283,64.9
284,64.3
285,68.2
286,64.0
287,62.1
288,74.0
289,60.7
290,76.3
291,73.5
292,58.8
293,73.8
294,70.4
295,64.8
296,67.4
297,67.5
298,73.1
299,67.8
300,68.6
301,77.5
302,70.8
303,70.8
304,69.8
305,71.7
306,76.8
307,72.1
308,72.1
309,67.4
310,74.8
311,75.8
312,74.3
313,64.8
314,65.2
315,73.4
316,64.1
317,75.5
318,71.9
319,66.2
320,74.8
321,53.8
322,71.6
323,72.9
324,60.0
325,79.3
326,73.8
327,71.8
328,71.3
329,67.2
330,62.2
331,67.0
332,78.0
333,84.3
334,65.5
335,66.6
336,71.8
337,72.0
338,68.9
339,72.4
340,69.4
341,63.1
342,70.9
343,85.7
344,76.6
345,63.9
346,67.4
347,70.2
348,65.7
349,68.6
350,68.7
351,72.7
352,64.3
353,64.3
354,70.0
355,74.0
356,73.3
357,62.1
358,77.0
359,76.7
360,69.8
361,70.8
362,68.8
363,70.3
364,70.3
365,71.1
366,75.5
367,65.5
368,73.7
369,70.2
370,78.1
371,77.9
372,65.1
373,71.2
374,77.3
375,75.1
376,67.1
377,70.1
378,67.2
379,67.8
380,75.1
381,69.3
382,71.9
383,72.6
384,81.8
385,76.9
386,67.1
387,70.9
388,68.1
389,65.0
390,73.5
391,64.8
392,67.7
393,71.0
394,57.9
395,73.5
396,68.8
397,72.5
398,72.1
399,78.7
400,76.1
401,71.1
402,65.1
403,70.2
404,63.6
